epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
57,2323.97,1.46085,1.03054,0,1.07329,0.00409,1.23431,0.81566,0.71232,0.7966,0.51516,0.70947,0.61374,0.63547,0.57619,1.3251,1.37883,0,1.09616,0.00599,0,0.000247754,0.000247754,0.000247754
58,2364.52,1.47091,1.07079,0,1.06269,0.00418,1.281,0.81961,0.70786,0.79848,0.51694,0.71509,0.61327,0.6419,0.58572,1.33056,1.33063,0,1.10822,0.00606,0,0.000242249,0.000242249,0.000242249
59,2405.15,1.46357,1.05384,0,1.06997,0.00416,1.18898,0.80397,0.71954,0.8002,0.51659,0.69846,0.61759,0.63582,0.57793,1.33026,1.33,0,1.09409,0.00602,0,0.000236745,0.000236745,0.000236745
60,2445.66,1.46053,1.03254,0,1.05757,0.00413,1.20477,0.81116,0.71498,0.80287,0.5168,0.7203,0.61994,0.64872,0.59118,1.32622,1.26491,0,1.06629,0.00603,0,0.00023124,0.00023124,0.00023124
61,2486.13,1.46316,1.02564,0,1.04916,0.00414,1.19671,0.85567,0.71126,0.81669,0.52978,0.75203,0.60991,0.65692,0.59641,1.32052,1.32669,0,1.0536,0.00598,0,0.000225736,0.000225736,0.000225736
62,2526.84,1.45398,1.02936,0,1.0543,0.00409,1.17577,0.8274,0.72111,0.8002,0.52024,0.72242,0.62193,0.63712,0.57866,1.31584,1.3942,0,1.08346,0.00596,0,0.000220232,0.000220232,0.000220232
63,2567.61,1.44723,1.01757,0,1.01989,0.00417,1.13438,0.8564,0.72163,0.82189,0.53155,0.76903,0.63217,0.67691,0.61116,1.31639,1.26143,0,1.04437,0.00607,0,0.000214727,0.000214727,0.000214727
64,2608.62,1.43488,1.00535,0,1.01447,0.00408,1.12003,0.83234,0.71215,0.81086,0.52798,0.73457,0.62521,0.66641,0.60667,1.30517,1.30723,0,1.06912,0.00601,0,0.000209223,0.000209223,0.000209223
65,2649.46,1.43989,1.03545,0,1.02338,0.00414,1.11635,0.82749,0.72326,0.80991,0.52583,0.70197,0.6281,0.63195,0.57554,1.31118,1.3979,0,1.04689,0.00597,0,0.000203718,0.000203718,0.000203718
66,2690.1,1.4413,1.0459,0,1.01638,0.00409,1.10902,0.84647,0.71623,0.81425,0.5269,0.74075,0.60644,0.64406,0.58462,1.30463,1.35671,0,1.05033,0.00601,0,0.000198214,0.000198214,0.000198214
67,2730.97,1.4283,1.01057,0,1.01545,0.00396,1.0783,0.82926,0.72676,0.82142,0.53882,0.74518,0.64403,0.68694,0.62455,1.30428,1.24476,0,1.02447,0.00596,0,0.00019271,0.00019271,0.00019271
68,2771.96,1.42916,1.03321,0,1.00174,0.00402,1.14076,0.8122,0.70125,0.79445,0.51713,0.69818,0.6001,0.6233,0.56262,1.31175,1.43156,0,1.08587,0.00599,0,0.000187205,0.000187205,0.000187205
69,2812.57,1.44095,1.04978,0,1.01531,0.00406,1.13933,0.82196,0.72183,0.80726,0.52473,0.71564,0.63236,0.65031,0.5917,1.31015,1.35769,0,1.05573,0.00595,0,0.000181701,0.000181701,0.000181701
70,2853.22,1.42687,1.00703,0,0.98599,0.00404,1.05954,0.82318,0.72115,0.81569,0.53664,0.71862,0.64139,0.66791,0.60597,1.28953,1.29852,0,1.04588,0.00593,0,0.000176196,0.000176196,0.000176196
71,2893.97,1.42712,0.96445,0,0.98951,0.004,0.92003,0.8476,0.73546,0.82603,0.53976,0.72143,0.61963,0.64195,0.58408,1.28887,1.36647,0,1.00758,0.00587,0,0.000170692,0.000170692,0.000170692
72,2934.63,1.41961,0.9741,0,0.97105,0.004,0.94001,0.81777,0.73621,0.82364,0.54365,0.71134,0.63935,0.65718,0.5958,1.29023,1.31513,0,1.02014,0.006,0,0.000165188,0.000165188,0.000165188
73,2975.06,1.41528,0.96016,0,0.98733,0.00405,0.9197,0.84387,0.73321,0.8297,0.53919,0.73675,0.62561,0.6556,0.59058,1.29798,1.3259,0,0.98832,0.00596,0,0.000159683,0.000159683,0.000159683
74,3015.61,1.41616,1.02373,0,0.96216,0.0039,1.01767,0.85899,0.71338,0.82105,0.53473,0.76753,0.62677,0.67199,0.60781,1.29823,1.23525,0,1.0027,0.00593,0,0.000154179,0.000154179,0.000154179
75,3056.07,1.43269,0.99368,0,0.98436,0.00404,0.92642,0.84722,0.74286,0.82816,0.54431,0.75032,0.64694,0.67325,0.60976,1.28293,1.27425,0,0.98827,0.00587,0,0.000148674,0.000148674,0.000148674
76,3096.54,1.40581,0.95753,0,0.96003,0.00405,0.90969,0.85005,0.72961,0.82234,0.54366,0.7365,0.64612,0.66291,0.60238,1.27963,1.29924,0,1.00553,0.00584,0,0.00014317,0.00014317,0.00014317
77,3137.06,1.42606,1.01659,0,0.97553,0.004,1.02232,0.83107,0.75168,0.82906,0.54619,0.73758,0.66159,0.67804,0.61676,1.29433,1.27494,0,0.98521,0.00598,0,0.000137666,0.000137666,0.000137666
78,3177.47,1.4081,0.96391,0,0.95494,0.00394,0.92867,0.8607,0.72331,0.8281,0.54397,0.76352,0.63756,0.67784,0.61429,1.29502,1.28135,0,0.98992,0.00594,0,0.000132161,0.000132161,0.000132161
79,3218.15,1.4134,1.0241,0,0.95983,0.00397,1.05774,0.8688,0.72831,0.8261,0.53798,0.73265,0.61014,0.63024,0.56808,1.31254,1.38486,0,0.99587,0.00606,0,0.000126657,0.000126657,0.000126657
80,3259.13,1.40357,0.99556,0,0.95134,0.00389,0.97798,0.84915,0.73385,0.82577,0.54293,0.75423,0.64869,0.67916,0.61509,1.29454,1.28863,0,0.99483,0.00591,0,0.000121152,0.000121152,0.000121152
81,3299.74,1.40858,0.98546,0,0.95004,0.00391,0.92605,0.83876,0.73676,0.82367,0.54276,0.74808,0.65461,0.68499,0.61841,1.29947,1.26939,0,0.99889,0.00595,0,0.000115648,0.000115648,0.000115648
82,3340.73,1.40633,0.96231,0,0.94072,0.00393,0.91212,0.85479,0.73304,0.82857,0.54324,0.74874,0.63943,0.67113,0.60717,1.29807,1.29092,0,0.99218,0.00592,0,0.000110144,0.000110144,0.000110144
83,3381.31,1.39612,0.98094,0,0.9438,0.00381,0.88478,0.85465,0.72728,0.82271,0.53615,0.72672,0.61315,0.63609,0.57169,1.3026,1.42942,0,1.01107,0.00598,0,0.000104639,0.000104639,0.000104639
84,3422.33,1.38852,0.97492,0,0.91928,0.0039,0.93491,0.84051,0.75973,0.83399,0.54798,0.74285,0.66965,0.68651,0.61954,1.28228,1.26857,0,0.978,0.00584,0,9.91348e-05,9.91348e-05,9.91348e-05
85,3462.95,1.4013,0.95639,0,0.9144,0.00394,0.8664,0.85125,0.73258,0.83108,0.54986,0.75113,0.64306,0.67717,0.61095,1.28586,1.28369,0,0.98378,0.00584,0,9.36304e-05,9.36304e-05,9.36304e-05
86,3503.45,1.38392,0.97357,0,0.91446,0.00382,0.84519,0.84597,0.74191,0.83076,0.54687,0.73282,0.64514,0.66229,0.59859,1.28809,1.31035,0,0.97071,0.00585,0,8.8126e-05,8.8126e-05,8.8126e-05
87,3543.92,1.39549,0.96327,0,0.92581,0.00397,0.84801,0.84884,0.74,0.82756,0.54567,0.72936,0.63073,0.64641,0.5806,1.28432,1.38921,0,0.98759,0.00586,0,8.26216e-05,8.26216e-05,8.26216e-05
88,3584.39,1.37742,0.95972,0,0.91085,0.00391,0.89881,0.83771,0.7487,0.82759,0.54815,0.73674,0.65221,0.66451,0.59906,1.27836,1.33266,0,0.98029,0.00579,0,7.71172e-05,7.71172e-05,7.71172e-05
89,3624.89,1.37815,0.95146,0,0.91124,0.00388,0.83713,0.8475,0.73978,0.82629,0.54736,0.74218,0.64366,0.66371,0.60092,1.2795,1.33073,0,0.98895,0.00578,0,7.16128e-05,7.16128e-05,7.16128e-05
90,3665.35,1.38181,0.95464,0,0.90773,0.00386,0.84338,0.84564,0.74096,0.8314,0.5487,0.74755,0.65054,0.67486,0.61048,1.29026,1.29878,0,0.97491,0.00592,0,6.61084e-05,6.61084e-05,6.61084e-05
91,3706.47,1.29685,0.86901,0,0.79226,0.00401,1.14333,0.85152,0.755,0.83661,0.54857,0.75181,0.6617,0.67783,0.61387,1.30278,1.25541,0,0.96875,0.00596,0,6.0604e-05,6.0604e-05,6.0604e-05
92,3746.65,1.28984,0.89475,0,0.76724,0.00397,1.11894,0.86314,0.74669,0.83768,0.5529,0.7557,0.65108,0.67091,0.60672,1.29233,1.30424,0,0.96349,0.00593,0,5.50996e-05,5.50996e-05,5.50996e-05
93,3786.68,1.27434,0.85307,0,0.76712,0.00392,1.02898,0.84971,0.75442,0.83824,0.55493,0.73753,0.66121,0.67178,0.61026,1.28869,1.28644,0,0.94961,0.00592,0,4.95952e-05,4.95952e-05,4.95952e-05
94,3826.92,1.26853,0.87267,0,0.76098,0.00397,1.0488,0.85553,0.74284,0.83753,0.5542,0.74256,0.64801,0.6709,0.6053,1.28276,1.31643,0,0.95229,0.00587,0,4.40908e-05,4.40908e-05,4.40908e-05
95,3867.13,1.2803,0.85874,0,0.76578,0.0039,1.00487,0.85489,0.7444,0.83823,0.55369,0.74379,0.64473,0.66596,0.60119,1.28075,1.32107,0,0.95148,0.00588,0,3.85864e-05,3.85864e-05,3.85864e-05
96,3907.56,1.27518,0.88301,0,0.75301,0.00396,1.04248,0.85626,0.73932,0.83406,0.54745,0.73471,0.62138,0.64616,0.5818,1.29185,1.42764,0,0.97134,0.00596,0,3.3082e-05,3.3082e-05,3.3082e-05
97,3949.58,1.26738,0.87755,0,0.74033,0.0039,1.05305,0.84065,0.76589,0.84246,0.55662,0.72588,0.65628,0.66464,0.601,1.28443,1.31389,0,0.93748,0.0059,0,2.75776e-05,2.75776e-05,2.75776e-05
98,3989.86,1.27867,0.86647,0,0.7501,0.00393,1.05696,0.85538,0.75673,0.84107,0.55737,0.73968,0.66134,0.67109,0.60727,1.28556,1.3034,0,0.94346,0.00591,0,2.20732e-05,2.20732e-05,2.20732e-05
99,4030.1,1.26287,0.87717,0,0.74272,0.00387,0.98604,0.85033,0.75441,0.84003,0.55658,0.74401,0.65645,0.6706,0.60639,1.28136,1.30095,0,0.94457,0.00589,0,1.65688e-05,1.65688e-05,1.65688e-05
100,4070.38,1.26444,0.86035,0,0.74006,0.00385,1.03707,0.84922,0.76042,0.84221,0.55793,0.74503,0.66172,0.67483,0.60964,1.2817,1.29346,0,0.9393,0.00589,0,1.10644e-05,1.10644e-05,1.10644e-05
